"RecNum";"LahmanID";"Inducted";"By";"Ballots";"Votes";"Pct";"Pos";"Category"
1;"cobbty01";1936;"BW";226;222;98.23;"CF";"Player"
2;"johnswa01";1936;"BW";226;189;83.63;"P";"Player"
3;"mathech01";1936;"BW";226;205;90.71;"P";"Player"
4;"ruthba01";1936;"BW";226;215;95.13;"RF";"Player"
5;"wagneho01";1936;"BW";226;215;95.13;"SS";"Player"
6;"bulkemo99";1937;"VC";;;;;"Pioneer/Executive"
7;"johnsba99";1937;"VC";;;;;"Pioneer/Executive"
8;"lajoina01";1937;"BW";201;168;83.58;"2B";"Player"
9;"mackco01";1937;"VC";;;;;"Manager"
10;"mcgrajo01";1937;"VC";;;;;"Manager"
11;"speaktr01";1937;"BW";201;165;82.09;"CF";"Player"
12;"wrighge01";1937;"VC";;;;;"Pioneer/Executive"
13;"youngcy01";1937;"BW";201;153;76.12;"P";"Player"
14;"alexape01";1938;"BW";262;212;80.92;"P";"Player"
15;"cartwal99";1938;"VC";;;;;"Pioneer/Executive"
16;"chadwhe99";1938;"VC";;;;;"Pioneer/Executive"
17;"ansonca01";1939;"VC";;;;"1B";"Player"
18;"collied01";1939;"BW";274;213;77.74;"2B";"Player"
19;"comisch01";1939;"VC";;;;;"Pioneer/Executive"
20;"cummica01";1939;"VC";;;;;"Pioneer/Executive"